original_language,original_title,popularity,release_date,vote_average,vote_count,runtime_minutes,genres,averagerating,numvotes
en,Growth,7.28,1,5.2,33,90.0,"Horror,Sci-Fi",4.7,3294
en,Made in Dagenham,7.275,11,6.6,150,113.0,"Biography,Comedy,Drama",7.2,13121
en,Catfish,7.172,9,6.8,284,87.0,"Documentary,Drama,Mystery",7.1,38656
en,The Drawn Together Movie: The Movie!,7.171,4,6.4,54,70.0,"Animation,Comedy,Mystery",6.2,3637
en,The Tortured,7.148,6,5.3,77,79.0,"Horror,Thriller",5.5,6946
en,Hesher,7.14,1,7.0,335,106.0,"Comedy,Crime,Drama",7.0,48483
en,Howl,7.12,9,6.8,100,84.0,"Biography,Drama,Romance",6.8,12096
en,Howl,7.12,9,6.8,100,89.0,"Action,Fantasy,Horror",5.3,9732
en,Restrepo,7.119,6,7.5,188,93.0,"Documentary,War",7.5,20691
en,Banana,7.118,12,7.1,178,90.0,Comedy,6.7,201
en,Red White & Blue,7.09,10,6.2,64,104.0,"Drama,Thriller",6.4,5273
en,The Killer Inside Me,7.087,4,5.9,304,109.0,"Crime,Drama,Horror",6.1,31727
en,Just Wright,7.047,5,6.2,211,100.0,"Comedy,Romance,Sport",5.9,12466
fr,Rien à déclarer,6.978,12,5.8,602,108.0,Comedy,6.4,12073
en,Death at a Funeral,6.862,4,5.7,439,92.0,Comedy,5.7,42042
en,The Rig,6.856,10,3.7,39,94.0,"Action,Adventure,Horror",3.2,1832
en,Shanghai,6.824,10,6.1,80,105.0,"Crime,Drama,Mystery",6.4,8662
en,Shanghai,6.824,10,6.1,80,120.0,"Crime,Mystery,Thriller",7.2,9047
en,How Do You Know,6.753,12,5.1,453,121.0,"Comedy,Drama,Romance",5.4,41072
en,Tiny Furniture,6.695,11,5.9,82,98.0,"Comedy,Drama,Romance",6.2,13397
en,Stomp the Yard 2: Homecoming,6.684,10,4.7,48,89.0,"Drama,Music",4.3,2137
en,Happythankyoumoreplease,6.645,1,6.5,148,100.0,"Comedy,Drama,Romance",6.8,28327
en,Why Did I Get Married Too?,6.636,4,5.9,49,121.0,"Comedy,Drama,Romance",4.6,8653
en,YellowBrickRoad,6.635,1,4.9,75,98.0,"Horror,Thriller",4.7,5336
en,Dinner for Schmucks,6.632,7,5.6,920,114.0,Comedy,5.9,91546
en,And Soon the Darkness,6.606,12,5.2,197,91.0,"Drama,Horror,Mystery",5.2,15410
en,Crazy on the Outside,6.579,1,5.4,48,96.0,"Comedy,Crime",5.6,5288
it,Cosa voglio di più,6.53,6,5.6,49,126.0,"Drama,Romance",6.1,2317
en,Super Hybrid,6.474,1,5.1,35,94.0,"Horror,Sci-Fi,Thriller",4.0,1537
en,Dog Pound,6.428,4,7.6,177,91.0,Drama,7.0,10025
en,The Joneses,6.424,4,6.2,312,117.0,"Comedy,Drama",6.9,87
en,The Joneses,6.424,4,6.2,312,80.0,"Biography,Documentary",5.9,15
en,The Joneses,0.634,4,6.0,1,117.0,"Comedy,Drama",6.9,87
en,The Joneses,0.634,4,6.0,1,80.0,"Biography,Documentary",5.9,15
en,I'm Still Here,6.386,9,6.0,179,108.0,"Comedy,Drama,Music",6.2,18606
en,I'm Still Here,6.386,9,6.0,179,120.0,"Drama,Romance,Thriller",7.0,1127
en,Hubble 3D,6.346,3,7.1,54,44.0,Documentary,7.7,3945
en,"Ultramarines: A Warhammer 40,000 Movie",6.322,12,5.2,50,76.0,"Action,Animation,Fantasy",5.6,5512
de,Groupies bleiben nicht zum Frühstück,6.32,10,6.9,104,103.0,"Comedy,Romance",6.6,1845
en,Altitude,6.305,10,4.9,119,90.0,"Horror,Mystery,Sci-Fi",4.9,9477
en,Altitude,6.305,10,4.9,119,88.0,"Action,Crime,Thriller",4.0,2698
en,Altitude,6.377,4,4.4,57,90.0,"Horror,Mystery,Sci-Fi",4.9,9477
en,Altitude,6.377,4,4.4,57,88.0,"Action,Crime,Thriller",4.0,2698
en,Extraordinary Measures,6.3,1,6.3,153,106.0,Drama,6.5,15673
en,The Tempest,6.3,12,5.8,52,110.0,"Comedy,Drama,Fantasy",5.4,7073
en,The Tempest,6.3,12,5.8,52,131.0,Drama,7.8,94
en,The Tempest,6.3,12,5.8,52,169.0,"Comedy,Drama",8.5,171
en,Red Hill,6.269,11,6.1,79,95.0,"Thriller,Western",6.4,7874
en,Cemetery Junction,6.225,8,6.6,116,95.0,"Comedy,Drama",6.9,19099
en,You Will Meet a Tall Dark Stranger,6.209,5,5.8,431,98.0,"Comedy,Drama,Romance",6.3,41608
fr,Coursier,6.195,2,4.9,74,98.0,"Action,Comedy,Crime",5.9,1498
en,Love Ranch,6.185,6,6.1,28,117.0,"Biography,Comedy,Drama",5.6,2742
fr,De vrais mensonges,6.092,12,5.8,70,105.0,"Comedy,Romance",6.5,6618
en,The Perfect Host,6.088,7,6.3,217,93.0,"Comedy,Crime,Thriller",6.8,23378
hi,Kites,6.058,5,5.8,67,123.0,"Action,Drama,Romance",6.1,11353
en,Kaboom,6.052,10,5.7,175,86.0,"Comedy,Mystery,Romance",5.7,11858
en,Boy Wonder,6.036,8,6.6,77,93.0,"Action,Crime,Drama",6.8,8412
en,Five Minarets in New York,5.994,11,5.7,49,119.0,"Action,Drama",5.9,13699
en,Birdemic: Shock and Terror,5.961,2,2.0,152,105.0,"Action,Comedy,Drama",1.8,19137
en,Please Give,5.945,1,6.3,81,87.0,"Comedy,Drama",6.6,10652
en,Skateland,5.938,5,5.4,16,98.0,Drama,5.8,2062
hi,Guzaarish,5.919,11,7.6,52,126.0,Drama,7.5,15402
en,Repeaters,5.801,4,5.7,75,89.0,"Action,Crime,Drama",5.8,5936
en,High School,5.762,6,5.8,68,99.0,Comedy,5.8,7060
en,Freakonomics,5.705,10,6.6,57,93.0,Documentary,6.4,6466
fi,Rare Exports,5.704,12,6.5,233,84.0,"Adventure,Fantasy,Horror",6.7,23923
en,Hunt to Kill,5.673,11,5.1,60,98.0,"Action,Thriller",5.2,5881
