original_title,studio,foreign_gross,release_date,production_budget,domestic_gross,worldwide_gross
Limitless,Rela.,82600000,2011-03-18,27000000.0,79249455.0,155564919.0
Johnny English Reborn,Uni.,151800000,2011-10-21,45000000.0,8406711.0,164640401.0
Final Destination 5,WB (NL),115300000,2011-08-12,40000000.0,42587643.0,155011165.0
Tower Heist,Uni.,74900000,2011-11-04,85000000.0,78046570.0,150422946.0
Midnight in Paris,SPC,94300000,2011-05-20,30000000.0,56816662.0,162502774.0
Happy Feet Two,WB,86400000,2011-11-18,135000000.0,64006466.0,157956466.0
Jack and Jill,Sony,75500000,2011-11-11,79000000.0,74158157.0,150519217.0
Friends with Benefits,SGem,93700000,2011-07-22,35000000.0,55802754.0,146595891.0
No Strings Attached,Par.,78600000,2011-01-21,25000000.0,70662220.0,149228078.0
Arthur Christmas,Sony,101000000,2011-11-23,85000000.0,46462469.0,149717124.0
Source Code,Sum.,92600000,2011-04-01,32000000.0,54712227.0,140428499.0
Contagion,WB,59800000,2011-09-09,60000000.0,75658097.0,137551594.0
The Artist,Wein.,88800000,2011-11-25,16000000.0,44667095.0,128256712.0
Unknown,WB,67099999,2011-02-18,40000000.0,63686397.0,136123083.0
Unknown,WB,67099999,2006-11-03,3700000.0,26403.0,3355048.0
The Adjustment Bureau,Uni.,65400000,2011-03-04,50200000.0,62495645.0,126931325.0
We Bought a Zoo,Fox,44500000,2011-12-23,50000000.0,75624550.0,118729073.0
Water for Elephants,Fox,58400000,2011-04-22,38000000.0,58709717.0,116809717.0
The Iron Lady,Wein.,84900000,2012-01-13,14000000.0,29959436.0,115592104.0
Moneyball,Sony,34600000,2011-09-23,50000000.0,75605492.0,111300835.0
Sanctum,Uni.,85400000,2011-02-04,30000000.0,23209310.0,108957098.0
Justin Bieber: Never Say Never,Par.,26000000,2011-02-11,13000000.0,73013910.0,99034125.0
Paul,Uni.,60600000,2011-03-18,40000000.0,37412945.0,101162106.0
Scream 4,W/Dim.,59000000,2011-04-15,40000000.0,38180928.0,95989590.0
Insidious,FD,43000000,2011-04-01,1500000.0,54009150.0,99870886.0
The Rite,WB (NL),63000000,2011-01-28,37000000.0,33047633.0,97143987.0
Dolphin Tale,WB,23100000,2011-09-23,37000000.0,72286779.0,96068724.0
Season of the Witch,Rela.,66800000,2011-01-07,40000000.0,24827228.0,91126600.0
Sucker Punch,WB,53400000,2011-03-25,75000000.0,36392502.0,89758389.0
Red Riding Hood,WB,51500000,2011-03-11,42000000.0,37662162.0,91678442.0
Spy Kids: All the Time in the World,W/Dim.,47000000,2011-08-19,27000000.0,38536376.0,80681183.0
J. Edgar,WB,47600000,2011-11-09,35000000.0,37306030.0,84606030.0
Hall Pass,WB (NL),38100000,2011-02-25,68000000.0,45060734.0,87173475.0
"Big Mommas: Like Father, Like Son",Fox,44800000,2011-02-18,32000000.0,37915414.0,82332450.0
Abduction,LGF,54000000,2011-09-23,35000000.0,28087155.0,86648359.0
Priest,SGem,49200000,2011-05-13,60000000.0,29136626.0,84154026.0
The Mechanic,CBS,47000000,2011-01-28,42500000.0,29121498.0,76347393.0
The Ides of March,Sony,35000000,2011-10-07,23000000.0,40962534.0,77735925.0
The Change-Up,Uni.,38400000,2011-08-05,52000000.0,37243418.0,75997067.0
The Lincoln Lawyer,LGF,17000000,2011-03-18,40000000.0,58009200.0,87145086.0
Diary of a Wimpy Kid: Rodrick Rules,Fox,19700000,2011-03-25,18000000.0,52698535.0,73695194.0
Larry Crowne,Uni.,36400000,2011-07-01,30000000.0,35608245.0,61449135.0
The Dilemma,Uni.,21200000,2011-01-14,70000000.0,48475290.0,70546865.0
The Darkest Hour,Sum.,43200000,2011-12-25,34800000.0,21443494.0,62831715.0
Hanna,Focus,23500000,2011-04-08,30000000.0,40259119.0,65343694.0
Colombiana,TriS,24300000,2011-08-26,40000000.0,36665854.0,72295262.0
Something Borrowed,WB,21100000,2011-05-06,35000000.0,39046489.0,65084116.0
One Day,Focus,45500000,2011-08-19,15000000.0,13843771.0,59168692.0
Killer Elite,ORF,31300000,2011-09-23,70000000.0,25124986.0,65409046.0
The Tree of Life,FoxS,41000000,2011-05-27,35000000.0,13305665.0,61721826.0
Winnie the Pooh,BV,23200000,2011-07-15,30000000.0,26692846.0,50145607.0
Soul Surfer,TriS,3200000,2011-04-08,18000000.0,43853424.0,47158652.0
The Debt,Focus,14500000,2011-08-31,20000000.0,31177548.0,46604054.0
Beastly,CBS,15300000,2011-03-04,17000000.0,27865571.0,38028230.0
30 Minutes or Less,Sony,3500000,2011-08-12,28000000.0,37053924.0,40966716.0
The Roommate,SGem,3200000,2011-02-04,16000000.0,37300107.0,52545707.0
Shark Night 3D,Rela.,21300000,2011-09-02,25000000.0,18877153.0,18877153.0
Monte Carlo,Fox,16500000,2011-07-01,20000000.0,23186769.0,39686769.0
50/50,Sum.,4200000,2011-09-30,8000000.0,35016118.0,41334735.0
Mars Needs Moms,BV,17600000,2011-03-11,150000000.0,21392758.0,39549758.0
Dream House,Uni.,17200000,2011-09-30,50000000.0,21302340.0,41642166.0
Jumping the Broom,TriS,415000,2011-05-06,7000000.0,37295394.0,38158601.0
Don't Be Afraid of the Dark,FD,12900000,2011-08-26,25000000.0,24046682.0,39126427.0
A Very Harold & Kumar 3D Christmas,WB,326000,2011-11-04,20000000.0,35061031.0,36265745.0
My Week with Marilyn,Wein.,20500000,2011-11-23,10000000.0,14597405.0,34240572.0
The Sitter,Fox,4500000,2011-12-09,25000000.0,30542576.0,38749404.0
I Don't Know How She Does It,Wein.,20900000,2011-09-16,24000000.0,9659074.0,24474463.0
What's Your Number?,Fox,16399999,2011-09-30,20000000.0,14011084.0,30163785.0
Drive Angry,Sum.,18200000,2011-02-25,50000000.0,10721033.0,41042583.0
A Dangerous Method,SPC,21800000,2011-11-23,20000000.0,5702083.0,14807531.0
The Eagle,Focus,7600000,2011-02-11,25000000.0,19490041.0,38993548.0
Apollo 18,W/Dim.,7900000,2011-09-02,5000000.0,17686929.0,26517819.0
Biutiful,RAtt.,20000000,2011-01-28,35000000.0,5101237.0,24687524.0
Your Highness,Uni.,3300000,2011-04-08,50000000.0,21596445.0,26121638.0
The Rum Diary,FD,10800000,2011-10-28,45000000.0,13109815.0,21544732.0
Warrior,LGF,9400000,2011-09-09,25000000.0,13657115.0,24215385.0
Young Adult,Par.,6600000,2011-12-09,12000000.0,16311571.0,22750356.0
The Guard,SPC,14200000,2011-07-29,6000000.0,5359774.0,21197454.0
Margin Call,RAtt.,14200000,2011-10-21,3400000.0,5353586.0,20433227.0
Shame,FoxS,13800000,2011-12-02,6500000.0,4002293.0,20412841.0
The Last Godfather,RAtt.,16600000,2011-04-01,13400000.0,164247.0,164247.0
Melancholia,Magn.,12900000,2011-11-11,9400000.0,3030848.0,21817298.0
The Conspirator,RAtt.,3900000,2011-04-15,25000000.0,11538204.0,15907411.0
Anonymous,Sony,10900000,2011-10-28,27500000.0,4463292.0,15815509.0
Beginners,Focus,8500000,2011-06-03,3200000.0,5790894.0,14314407.0
Snow Flower and the Secret Fan,FoxS,10000000,2011-07-15,6000000.0,1348205.0,11348205.0
Le Havre,Jan.,9900000,2011-10-21,5500000.0,611709.0,13480196.0
Point Blank,Magn.,8500000,1967-09-18,3000000.0,0.0,0.0
Winter in Wartime,SPC,8700000,2011-03-18,5800000.0,542860.0,9662214.0
The Big Year,Fox,244000,2011-10-14,41000000.0,7204138.0,7684524.0
The Beaver,Sum.,6300000,2011-05-06,21000000.0,970816.0,5046038.0
We Need to Talk About Kevin,Osci.,4300000,2012-01-13,7000000.0,1738692.0,10765283.0
Attack the Block,SGem,4800000,2011-07-29,13000000.0,1024175.0,6459183.0
Dylan Dog: Dead of Night,OMNI/FSR,3400000,2011-04-29,20000000.0,1186538.0,6093725.0
Like Crazy,ParV,336000,2011-10-28,250000.0,3395391.0,3728400.0
Martha Marcy May Marlene,FoxS,548000,2011-10-21,1000000.0,2981038.0,5438911.0
Machine Gun Preacher,Rela.,2800000,2011-09-23,30000000.0,538690.0,3721988.0
Take Shelter,SPC,1400000,2011-09-30,4750000.0,1728953.0,4972016.0
Brighton Rock,IFC,1600000,2011-08-26,11000000.0,229653.0,229653.0
Another Earth,FoxS,456000,2011-07-22,175000.0,1321194.0,2102779.0
Submarine,Wein.,397000,2011-06-03,1900000.0,467602.0,4581937.0
Blackthorn,Magn.,423000,2011-10-07,4500000.0,200558.0,1217307.0
The Other Woman,IFC,427000,2014-04-25,40000000.0,83911193.0,195111193.0
Another Happy Day,P4,347000,2011-11-18,4000000.0,9120.0,978527.0
Skyfall,Sony,804200000,2012-11-08,200000000.0,304360277.0,1110526981.0
The Dark Knight Rises,WB,636800000,2012-07-20,275000000.0,448139099.0,1084439099.0
The Hobbit: An Unexpected Journey,WB (NL),718100000,2012-12-14,250000000.0,303003568.0,1017003568.0
Ice Age: Continental Drift,Fox,715900000,2012-07-13,95000000.0,161321843.0,879765137.0
The Amazing Spider-Man,Sony,495900000,2012-07-03,220000000.0,262030663.0,757890267.0
Madagascar 3: Europe's Most Wanted,P/DW,530500000,2012-06-08,145000000.0,216391482.0,746921271.0
The Hunger Games,LGF,286400000,2012-03-23,80000000.0,408010692.0,677923379.0
Life of Pi,Fox,484000000,2012-11-21,120000000.0,124987022.0,620912003.0
Ted,Uni.,330600000,2012-06-29,50000000.0,218665740.0,556016627.0
Brave,BV,303200000,2012-06-22,185000000.0,237282182.0,554606532.0
Wreck-It Ralph,BV,281800000,2012-11-02,165000000.0,189412677.0,496511521.0
Django Unchained,Wein.,262600000,2012-12-25,100000000.0,162805434.0,449948323.0
Prometheus,Fox,276900000,2012-06-08,125000000.0,126477084.0,402448265.0
